number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
43,2469.514325619313,none,0.901275878017832,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.027666523825406096,4,17,0.26531890495563004,656,148,small,0.19887401335586302,0.00012223979772952172,none,None,0.9557056363045138,none,COMPLETE
44,2909.3342300379322,none,0.9105400130559901,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.045123509236470925,3,17,0.26277492349579973,670,147,small,0.20894815558982022,1.4107108150125078e-05,none,None,0.9468975954104086,none,COMPLETE
45,2736.66002301033,none,0.9531924374864168,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.030181178299656386,4,6,0.20166309024064064,619,143,small,0.013582513558137086,9.303249752428089e-05,none,None,0.9563832873483369,none,COMPLETE
46,3369.379107732891,none,0.9874205625819544,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,12.0,0.025987265988896342,5,6,0.19335279618361767,705,141,small,0.010806936694667944,7.191639163900619e-07,none,None,0.9716019292651222,none,COMPLETE
47,3780.904117518548,none,0.957704814305238,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,True,1.0,0.016119844378247924,3,22,0.2153162175010132,609,125,small,0.27054722840395107,1.511712419965856e-05,none,None,0.9985966951646926,none,COMPLETE
48,3399.1188127832006,none,0.8923162672437754,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,,0.04141823013607192,4,5,0.31614236611267216,664,140,small,0.01722983216046977,0.00010546373905155326,none,None,0.9139129355830963,none,COMPLETE
49,3113.9803259497785,none,0.9340326007594492,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,6.0,0.033060862008655496,5,27,0.23355879619951214,556,131,small,0.9360552648685543,0.0005702733304218315,none,None,0.9522909920949946,none,COMPLETE
50,3168.2584411687444,none,0.961606455182988,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,12.0,0.054264395359919684,3,13,0.2728017077972119,717,143,small,0.03535887605534207,2.06895337551691e-06,none,None,0.8270346359976312,medium,COMPLETE
51,2700.531811567223,none,0.8362163899801389,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.027700447997218276,4,15,0.19946566524140336,604,134,small,0.08468330878728675,0.00021933492851686784,none,None,0.873238018794387,none,COMPLETE
52,2702.5127422486244,none,0.795526556477123,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.02472547861556768,5,21,0.19609321748601505,502,135,small,0.3464219572751499,0.00025853036930637127,none,None,0.933670379291927,none,COMPLETE
53,2529.12604634972,none,0.7968604203112704,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.02596532670965361,4,21,0.19392865593504627,513,135,small,0.35030282579819166,0.00018935381792907117,none,None,0.9281734847384229,none,COMPLETE
54,2505.1080491513135,none,0.7975212304648742,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.023169849561140217,4,23,0.1366440038332598,507,135,small,0.28768748631214264,0.0002483515809756836,none,None,0.9244564379855772,none,COMPLETE
55,2337.061305693354,none,0.8274621472551088,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.016529758956524667,4,28,0.13683882274386583,447,113,small,0.06739305043204266,0.0009503486533731348,none,None,0.8954959522984842,none,COMPLETE
56,3061.045619753619,none,0.8154148501692655,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.013908254823058101,6,26,0.13250346195793172,424,111,small,0.4613367772993107,0.0009444522505253365,none,mean,0.8909349842114713,none,COMPLETE
57,4684.850991282834,none,0.7870323143158249,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.010853420355014406,3,31,0.16715180672970148,348,125,small,0.04827468737673683,2.5400246632369472e-05,none,None,0.9759879966339854,none,COMPLETE
58,2891.17275885631,none,0.7546552136294755,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,True,12.0,0.017429507763504663,5,11,0.09440783576821647,381,149,small,0.18039186348417752,0.0007521076324703057,none,distance_energy,0.9062178372776734,none,COMPLETE
