number,value,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moiust_air_correction,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_dew_point_temperature,params_drop_raw_main_features,params_drop_raw_wind_features,params_encode_wind_direction,params_gust_factor,params_lags_choice,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_choice,params_reg_alpha,params_reg_lambda,params_spatial_agg_method,params_subsample,params_turbulence_window,params_vapor_pressure,state
10,783.5508206464491,0.5005449643671533,True,False,True,False,False,False,False,True,True,False,large,,0.011028944208979855,8,7,498,large,5.620932200753389e-06,0.00020544325682044737,distance_n_turbines,0.5091817132065665,2,False,COMPLETE
11,783.1187363413293,0.5638221995880872,True,False,True,False,False,False,False,True,True,False,large,,0.010620919515505135,8,7,491,large,5.338462443572865e-06,0.00032592516482910996,distance_n_turbines,0.5043555865607174,2,False,COMPLETE
12,790.3896524973085,0.5046418527786699,True,False,True,False,False,False,False,True,True,False,large,,0.023557138885831313,7,6,511,large,3.165782986659961e-06,0.000420568103178195,distance_capacity,0.5032599639371992,2,False,COMPLETE
13,786.1431121868078,0.6122415771835202,True,False,True,False,False,False,False,True,True,False,large,,0.023929971256317347,10,6,508,large,0.0009504822771936331,1.0193559464050664e-05,distance_n_turbines,0.6750412326109965,2,False,COMPLETE
14,778.815026452533,0.8694488041961679,True,False,True,False,False,False,True,True,True,True,large,,0.010845454736600518,7,4,431,large,1.4790500923530413e-08,0.002007982807807681,idw,0.8281299379490101,2,False,COMPLETE
15,1111.983694769741,0.8405933627863379,True,False,True,False,False,False,True,True,True,True,large,6.0,0.0225231049490299,7,3,425,large,2.4404059769668743e-08,0.006890065521462939,idw,0.8244490848086944,2,False,COMPLETE
16,762.4913961361425,0.8526129641731919,True,False,False,False,False,False,True,True,True,True,large,,0.040700969504943875,6,1,612,large,0.019570357393767248,0.0022283387567652467,idw,0.841152617113741,2,False,COMPLETE
17,767.4910587437774,0.7740444260929528,True,False,False,False,False,False,True,True,True,True,large,,0.03861615551755549,6,1,585,large,0.015907640666801046,1.738957426732625e-05,idw,0.9288966377052118,6,False,COMPLETE
18,813.5895040309528,0.7413865417749069,False,False,False,True,True,True,True,True,True,True,large,,0.04100973497931016,6,1,722,large,0.01278035436426043,1.3558410807938481e-06,idw,0.9280842262479154,6,False,COMPLETE
19,873.8009861349113,0.6895279152902019,True,False,False,False,False,False,True,True,True,True,large,6.0,0.03874585977363449,3,1,597,large,0.010787108105917468,1.0391183058433026e-06,idw,0.8461858320839255,6,False,COMPLETE
20,865.1661469107013,0.7854269828422067,True,False,False,False,False,False,True,True,True,True,small,,0.05466764048633794,4,2,614,none,0.04686530964201201,1.7761103335603764e-05,idw,0.9345847105622096,6,False,COMPLETE
21,775.12766014002,0.8283529752754508,True,False,False,False,False,False,True,True,True,True,large,,0.017354277927966663,6,2,588,large,0.0002049739289165841,9.10410021784661e-05,None,0.7710937526599554,6,False,COMPLETE
22,775.5678296807768,0.8815927221777369,True,False,False,False,False,False,True,True,True,True,large,,0.03205075199484391,8,3,564,large,0.004859608647729229,0.0013046762932244426,capacity,0.8814052644525471,2,False,COMPLETE
23,784.2539736132481,0.780791079189549,True,False,False,False,False,False,True,True,True,True,large,,0.05692585464642143,6,1,728,large,6.912142980986958e-05,3.738959880050384e-05,distance_capacity,0.737055651340141,2,False,COMPLETE
24,784.9267257637651,0.8283627508517492,True,False,False,False,False,False,True,True,True,True,large,,0.01632135840081263,7,2,653,large,0.0627633011495565,4.78772738699017e-06,None,0.8122526050304274,6,False,COMPLETE
25,772.5029114846151,0.6941961179944915,True,False,False,False,False,False,True,True,True,True,large,,0.02943759982662189,4,4,553,large,0.003707526063642207,0.019681675856545396,idw,0.9495601616136354,2,False,COMPLETE
26,929.300356212862,0.8522686918441605,False,False,False,True,True,True,True,True,False,True,large,,0.277145128421895,6,1,456,large,0.00025241839769956417,2.8789470881260704e-07,idw,0.8656774960353372,6,True,COMPLETE
27,1082.6195166882098,0.9031373881462145,True,False,False,False,False,False,True,True,True,True,large,6.0,0.06506646855643106,8,3,638,large,2.373381881750934e-05,6.197608464402114e-05,None,0.9087158145985438,2,False,COMPLETE
28,795.5456584619643,0.7743694952435721,True,False,False,False,False,False,True,True,True,True,small,1.0,0.030965273621787744,7,2,689,large,0.12562214770833086,0.000709521513306043,idw,0.6972909813446325,2,False,COMPLETE
29,801.6554599952087,0.801498859963769,True,False,False,True,True,True,True,True,True,True,large,,0.019680367255287084,5,5,378,none,0.01766464179163712,0.4253040722900126,None,0.7466629288983048,6,True,COMPLETE
