number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,params_use_base_models_pred_intervals,state
10,2294.361386333621,none,0.5543952819150367,True,False,True,False,True,False,False,False,True,True,True,False,False,True,True,False,True,0.2919761016465805,6,1,983,medium,0.34454308659835037,1.0095861940864004e-07,short,idw,0.5082288976569996,medium,False,COMPLETE
11,2008.3544658040466,medium,0.9098744817596637,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.010768244247961915,7,10,955,medium,0.8648412199724081,0.0115093474454872,none,distance_energy,0.7864653964705068,small,True,COMPLETE
12,2049.3862466464393,medium,0.8909734850439375,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,0.10619598379134086,7,7,979,medium,0.9308950305591744,0.724615079974167,none,max,0.8041050568165825,medium,True,COMPLETE
13,1984.1199610225729,medium,0.8191540822562257,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.010645535808268155,3,7,873,medium,0.02862392350715799,1.608820863486719e-05,short,mean,0.8131547895573116,small,True,COMPLETE
14,2079.594646880876,medium,0.6800993461764913,False,False,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,0.12726397653258104,3,7,843,medium,0.020924069942523688,8.527249510108531e-06,short,mean,0.8396666535976617,none,False,COMPLETE
15,2052.3166766426984,medium,0.7863256260419729,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.010403148499237388,3,5,881,medium,0.03466036208064705,1.4448616965045092e-05,short,None,0.7111538460704045,small,True,COMPLETE
16,2087.200958707825,medium,0.8295658339210833,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.07504980300801464,5,7,755,medium,0.00019710787222656555,3.0373869696922526e-07,short,mean,0.5953074639878826,medium,True,COMPLETE
17,2236.6649712588446,none,0.6673379187639992,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,0.15462880440589472,4,3,900,medium,0.04534883133302952,1.0000602444775922e-08,short,mean,0.8434245064050201,medium,False,COMPLETE
18,2255.9120582848664,medium,0.9518184579046851,True,False,True,False,False,True,False,False,True,True,True,False,False,False,False,False,True,0.017173064867519836,5,6,793,none,0.12725443439835302,8.159870976434985e-05,short,idw,0.5113927599788937,small,False,COMPLETE
19,2088.5201806911205,medium,0.832941299976628,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,0.06908028047730859,5,1,587,medium,0.00018368841206904964,1.0906236001127511e-06,short,None,0.6473194052885535,none,True,COMPLETE
20,2193.424730358174,none,0.5015999450910946,False,True,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,0.2556093120234983,3,8,705,medium,2.1461399019403732e-08,8.766551216577826e-05,short,max,0.7691061570692053,medium,True,COMPLETE
21,2001.9672573952548,medium,0.9001166926659618,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.010276222510660486,8,10,930,medium,0.9507010752118641,0.005646529212038442,none,distance_energy,0.7795958872560266,small,True,COMPLETE
22,2031.4116395168376,medium,0.8585873629826105,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.015853384736655693,8,10,919,medium,0.009473890439400251,0.003350761146669676,none,population,0.847848636289291,small,True,COMPLETE
23,2011.0236344346258,medium,0.9513819329321456,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.013851635015086313,8,8,817,medium,0.06714817112750783,0.00031248470068866066,none,distance_energy,0.6945380667467959,small,True,COMPLETE
24,2055.5785401159555,medium,0.8049540330965574,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,0.029320690447911125,6,5,924,medium,0.18493508870230851,0.1136502734431321,short,mean,0.7496183720065397,small,True,COMPLETE
