number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
11,362.8392264319325,none,0.506881453175607,False,True,True,False,True,True,True,False,True,False,True,6.0,0.08311940727733143,10,10,922,small,1.4580421653534654e-08,2.283233381038864e-06,small,idw,0.6702172906839767,True,True,COMPLETE
12,344.5128600175044,none,0.6730483491061141,False,True,True,False,True,True,True,False,True,False,True,6.0,0.07614272803594824,9,8,851,small,2.4843094096107866e-07,1.1791442169257066e-08,small,distance_n_panels,0.6880345798371413,True,True,COMPLETE
13,371.54626496262426,none,0.508917313733428,False,True,True,False,True,True,True,False,True,False,True,6.0,0.018822806104837574,8,9,821,small,9.348540709450389e-07,6.65487470922511e-07,small,idw,0.6338054991843977,True,True,COMPLETE
14,378.781767670365,none,0.6501012606364986,False,False,True,False,True,True,True,False,True,False,True,12.0,0.09113502241706477,9,8,800,small,0.8601261632856092,9.994237412978899e-06,small,mean,0.7252870696766236,False,True,COMPLETE
15,387.84017296752995,medium,0.7105596745243625,False,True,True,False,True,True,True,False,True,False,True,6.0,0.03282799821089498,7,7,577,small,1.2632609582800583e-08,0.00020079394127830194,small,idw,0.5967056653490161,True,True,COMPLETE
16,353.2458855827055,none,0.5604345307275309,False,True,True,False,True,True,True,False,True,False,True,12.0,0.11483048028305609,9,10,910,none,1.2980044049484736e-06,1.42107766471176e-07,small,None,0.7445626266485147,True,True,COMPLETE
17,401.3639920137518,none,0.5042793250861057,False,False,False,False,True,True,True,False,True,False,True,6.0,0.06120348515254619,3,7,772,small,0.0012460942228537009,4.193417561741642e-06,large,distance_n_panels,0.6169346798156066,False,True,COMPLETE
18,392.32821507603944,none,0.8025515409113252,False,False,True,False,True,True,True,True,True,False,True,12.0,0.027695187019932982,10,9,900,small,1.1788640310659381e-07,7.588896563440938e-05,medium,mean,0.6991050745537558,False,True,COMPLETE
19,360.5647636019308,medium,0.6137565280343198,False,True,False,False,True,True,False,False,True,False,True,6.0,0.054151948938889485,7,6,988,none,9.006362197683145e-06,0.008967558365623653,small,distance_capacity,0.796232536442073,True,True,COMPLETE
20,361.8704271709216,none,0.5624821854761627,False,True,True,False,True,True,True,False,True,False,True,6.0,0.13149878945864865,8,9,757,small,0.0019359283168577826,2.2720472826881625e-07,small,None,0.5802432799251674,True,True,COMPLETE
21,349.99858312797005,small,0.6154949746055325,True,True,False,True,False,False,False,True,False,True,False,,0.160123613902538,6,10,974,large,0.009563023530024304,1.346160025136122e-08,medium,n_panels,0.5641054407111509,False,False,COMPLETE
22,365.7238627741717,small,0.6565457933786871,True,True,False,True,False,False,False,True,False,True,True,,0.09826026964391842,6,10,862,large,0.01215880648338235,2.7716157317137416e-08,medium,n_panels,0.647746763125002,False,False,COMPLETE
23,349.8449723912627,small,0.6042103405602812,True,True,False,True,False,False,False,True,False,True,False,,0.16903360754881427,6,9,995,large,0.0001961678344643085,5.180713960334673e-08,medium,idw,0.9969661379953147,False,False,COMPLETE
24,377.79003123596675,small,0.5387167521694591,False,True,False,True,False,False,False,True,False,True,True,,0.2696906207104701,9,8,935,large,0.011083622732995447,7.520356959273454e-07,medium,n_panels,0.5510323243460278,False,False,COMPLETE
25,404.567826092262,none,0.6849812275680763,False,True,False,False,True,True,False,True,True,False,True,,0.06693617774351844,7,10,880,large,0.9711110462149917,0.6562136703624434,medium,idw,0.617489188296376,False,False,COMPLETE
26,364.9152009941533,small,0.6309647272381838,True,False,False,True,False,False,False,True,False,True,False,12.0,0.10956393396758826,8,9,645,small,0.10127756274371494,6.511356315347816e-08,large,None,0.546170802931172,False,False,COMPLETE
27,416.73839161660266,medium,0.5348697289071417,False,True,False,False,True,True,False,False,True,False,True,1.0,0.1938082966517684,9,6,824,small,0.005330273072070091,1.681865773523261e-05,none,n_panels,0.6557614543575155,False,True,COMPLETE
28,354.30997386979976,none,0.5818721162661207,True,False,True,True,False,False,True,True,False,True,False,12.0,0.045427698327740185,6,9,946,none,0.00024256999279331052,1.8423189729445183e-06,small,distance_capacity,0.7160156403999952,True,False,COMPLETE
29,1911.6601366570276,small,0.5292105526409097,True,True,False,True,True,True,False,True,True,True,False,1.0,0.2915637824977959,5,3,742,large,7.606137166484609e-06,5.9254560727583e-07,large,capacity,0.5017525515555997,False,False,COMPLETE
