number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_base_models_pred_intervals,params_use_solar_geometry,params_vapor_pressure,state
13,288.2685447742562,medium,0.7952274178615841,True,True,False,False,False,False,False,True,True,False,False,0.035522184338051155,5,5,689,small,0.024697474963583488,3.406686190038819e-05,small,distance_capacity,0.873816034607238,True,True,True,COMPLETE
14,287.5579420724475,none,0.6730933459098934,True,True,False,True,True,False,False,True,True,False,False,0.0869969698589642,4,10,451,none,0.0023330707485879577,0.015203214245543092,none,None,0.933178446949801,False,True,True,COMPLETE
15,268.08927361745094,medium,0.9733780393701417,True,True,False,False,False,False,False,True,True,False,True,0.03432184419783022,3,8,666,small,0.3233127866897258,2.5876138858012736e-05,small,mean,0.7974238836495953,True,True,True,COMPLETE
16,260.9262096816666,none,0.9837753731903399,True,True,False,False,False,False,False,True,True,False,True,0.01096239263549265,4,6,599,none,0.5960900198203402,1.405187471668656e-05,none,mean,0.7705821479477959,True,True,True,COMPLETE
17,276.8656337483371,none,0.9458370204929427,True,True,False,True,True,False,False,True,True,False,True,0.012072853188552538,6,4,490,none,0.1057631901155964,6.7043679240404075e-06,none,capacity,0.6049588631219159,True,True,True,COMPLETE
18,296.1987221395943,none,0.5854903894480771,True,False,False,True,True,False,False,True,True,False,True,0.0167324912748767,10,6,357,none,5.309293577673614e-06,3.591266283411197e-08,none,None,0.7057280602937495,True,True,True,COMPLETE
19,261.29414984241686,none,0.8759139582888875,True,True,True,False,False,False,False,True,True,False,True,0.02528082667254369,4,5,576,none,1.3354157786620863e-07,0.00017888710945458973,none,idw,0.7826447593664004,True,True,True,COMPLETE
20,261.1176160625767,none,0.6865397751956417,True,True,True,True,True,False,False,True,True,False,True,0.013174561176631138,6,7,614,none,0.6878247496644037,1.3690064806530276e-07,none,distance_capacity,0.5624240499478386,True,True,True,COMPLETE
21,262.71304711531775,none,0.700038946443377,True,True,True,True,True,False,False,True,True,False,True,0.013228776947562906,6,7,611,none,0.856253838968185,6.343269758501439e-08,none,distance_capacity,0.5828321099656352,True,True,True,COMPLETE
22,259.22225126007436,none,0.6608056716379039,True,True,True,True,True,False,False,True,True,False,True,0.01016494506035492,5,7,548,none,0.0744773990092633,2.0077152705468468e-07,none,distance_capacity,0.5102980135242894,True,True,True,COMPLETE
23,262.3864912132263,none,0.5640998166892558,True,True,True,True,True,False,False,True,True,False,True,0.010493016098329777,4,6,417,none,0.06904451091560998,7.683296937165151e-06,none,max,0.5041409546377549,True,True,True,COMPLETE
24,267.0112224943434,none,0.813195198937195,True,True,True,True,True,False,False,True,True,False,True,0.019498417996453563,5,4,534,none,0.001232340146355657,2.5780680831239297e-07,medium,distance_capacity,0.5012778698362906,True,True,True,COMPLETE
