date,gas_50hz_actual,hard_coal_50hz_actual,lignite_50hz_actual,renewables_50hz_actual,gas_50hz_fitted,hard_coal_50hz_fitted,lignite_50hz_fitted,renewables_50hz_fitted,gas_50hz_lower,hard_coal_50hz_lower,lignite_50hz_lower,renewables_50hz_lower,gas_50hz_upper,hard_coal_50hz_upper,lignite_50hz_upper,renewables_50hz_upper
2025-01-14 10:00:00+00:00,3289.75,735.0,6186.5,271.5,2825.3922767071663,858.486204077683,6040.428633048684,232.94333334569006,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 11:00:00+00:00,3124.75,755.25,6362.5,196.0,2539.606946443383,829.536599073884,5486.675308924363,210.3279978305656,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 12:00:00+00:00,3213.5,831.0,6309.0,187.5,2652.122373219757,809.2931136610849,5471.997934149891,131.70963535380713,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 13:00:00+00:00,3368.5,912.25,6724.0,202.0,2583.8130971879827,879.6008435316506,5549.758145676749,127.55053968061094,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 14:00:00+00:00,3614.25,985.25,6870.25,241.5,2974.8445831619074,916.901837797519,5696.385618017646,360.11656398542937,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 15:00:00+00:00,3851.0,1057.75,6858.25,391.0,3068.832770261306,949.4321303401825,6218.017959629047,711.16784596816,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 16:00:00+00:00,3891.75,1063.5,6788.75,1750.5,3104.923789869357,868.2365017700862,6315.344768737279,1417.775569995299,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 17:00:00+00:00,3906.0,1068.0,6863.25,1967.75,3139.3661852381792,876.3142358782125,6406.420695097042,1294.046977365816,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 18:00:00+00:00,3908.75,1068.75,6974.75,1027.75,3094.98344437572,826.2138535698462,6364.045042339484,1127.3900433544545,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 19:00:00+00:00,3672.75,1062.75,7412.75,353.75,3080.13716843724,858.7608533092914,6336.818948428365,797.7385834853771,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 20:00:00+00:00,3466.75,1064.25,7407.25,264.0,2973.0958845762143,844.6176489541784,6384.082007433923,254.36857221266013,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 21:00:00+00:00,3495.25,1066.25,7406.25,149.25,2790.103165335256,934.1433289321322,6092.105232909509,298.9750303235474,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 22:00:00+00:00,3249.5,1058.5,7278.5,144.5,2689.0186753345033,917.6701369251111,6036.26636169198,174.80452500377356,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
2025-01-14 23:00:00+00:00,3307.0,1022.0,6360.5,146.0,2349.998085017967,935.2618076536185,5908.742627639095,147.77654802571584,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125,1480.1827604166667,449.1282242063492,4618.200778769841,515.6903125
