number,value,params_alpha,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_l1_ratio,params_lags_option,params_lags_target,params_spatial_method,params_turbulence_window,state
23,1824.0531281421736,0.22987126900628474,True,True,True,False,False,True,True,0.0008128249671779288,small,,idw-wc-n,5.0,COMPLETE
24,1768.3515318402406,0.904415524542824,True,True,True,False,False,True,True,0.005477073723759892,small,6.0,idw-wc-n,5.0,COMPLETE
25,1770.5919156227858,0.05503866921099214,True,True,True,False,False,True,True,0.0030642967998241017,none,6.0,idw-wc-n,5.0,COMPLETE
26,3164.7820425755394,0.043150015765670575,True,True,False,True,False,True,True,0.005242982548164131,none,6.0,idw-wc-n,5.0,COMPLETE
27,1770.5919156227858,0.23650354748885985,True,True,True,False,False,True,True,0.0036920275981018264,none,6.0,idw-wc-n,5.0,COMPLETE
28,1768.0933531743124,0.007179974220446358,True,True,True,False,False,True,True,0.004682383239896947,none,6.0,idw-wc-n,6.0,COMPLETE
29,2171.1386714765904,0.006747697346164403,True,True,True,True,False,True,True,0.0797327000505074,none,6.0,max,6.0,COMPLETE
30,1768.0933531743124,0.0007399211044740929,True,True,True,False,False,True,True,0.013449898289515044,none,6.0,idw-wc-n,6.0,COMPLETE
31,1768.0933531743124,0.0013474856592133977,True,True,True,False,False,True,True,0.009922478326883902,none,6.0,idw-wc-n,6.0,COMPLETE
32,1768.0933531743124,0.0007941464788861389,True,True,True,False,False,True,True,0.015388495813854923,none,6.0,idw-wc-n,6.0,COMPLETE
33,1768.0933531743124,0.0008622491469389518,True,True,True,False,False,True,True,0.009092715244550034,none,6.0,idw-wc-n,6.0,COMPLETE
34,2815.906310656103,0.0005337891759028575,False,True,True,False,False,False,True,0.03296369738340462,none,6.0,idw-wc-n,6.0,COMPLETE
35,1818.5024203490964,0.002667921921221605,True,False,True,False,True,True,True,0.19182867185453092,none,6.0,mean,,COMPLETE
36,1736.0778833844572,0.0005771405637679383,True,True,True,True,False,True,True,0.011390574525641232,none,6.0,idw-wc-n,6.0,COMPLETE
37,3015.8365802274116,0.00021992444522304447,False,True,True,True,True,True,True,0.0017020068352913088,none,6.0,idw-wc-n,6.0,COMPLETE
38,2102.861169359192,0.011854270429536923,True,False,True,True,False,False,False,0.007410003635853477,none,6.0,mean,,COMPLETE
39,3015.8365802274116,0.0028008145328702904,False,True,True,True,True,True,True,0.04273576770462358,none,6.0,idw-wc-n,6.0,COMPLETE
40,3566.2756387144095,0.0003388745924122366,True,False,False,True,False,False,False,0.08835543068796306,none,12.0,max,,COMPLETE
41,1736.0778833844572,5.236542674953755e-05,True,True,True,True,False,True,True,0.014717205227100483,none,6.0,idw-wc-n,6.0,COMPLETE
42,1736.0778833844572,4.060705481959231e-05,True,True,True,True,False,True,True,0.01433982161477881,none,6.0,idw-wc-n,6.0,COMPLETE
43,1736.0778833844572,1.1816882439986478e-05,True,True,True,True,False,True,True,0.0028956314439968537,none,6.0,idw-wc-n,6.0,COMPLETE
44,1736.0778833844572,5.421946251069294e-05,True,True,True,True,False,True,True,0.0026750517157760373,none,6.0,idw-wc-n,6.0,COMPLETE
45,3406.807798822844,3.9561376102688865e-05,False,True,True,True,False,True,False,9.821473985919797e-05,none,1.0,idw-c,6.0,COMPLETE
46,1841.6100766140628,5.309279853533443e-05,True,True,True,True,True,True,True,0.002479504344742635,large,6.0,idw-wc-n,2.0,COMPLETE
47,2097.202640217232,6.30560050191973e-06,True,False,True,True,False,False,True,0.02362935639669825,none,12.0,mean,,COMPLETE
48,3190.065396446696,1.4703554505076822e-05,True,True,False,True,False,True,True,0.0009184982694664234,none,6.0,idw-wc-n,6.0,COMPLETE
49,2145.9781937031125,2.1622332324420835e-06,True,True,True,True,False,True,False,0.0016079740659672936,large,6.0,max,6.0,COMPLETE
50,3003.512248213405,9.078387803000798e-05,False,True,True,True,True,True,True,3.8737198711331087e-05,none,1.0,idw-wc-n,6.0,COMPLETE
51,1736.0778833844572,2.0329182451160243e-05,True,True,True,True,False,True,True,0.003968796859875315,none,6.0,idw-wc-n,6.0,COMPLETE
52,1736.0778833844572,1.6475854196988317e-05,True,True,True,True,False,True,True,0.002720560618415656,none,6.0,idw-wc-n,6.0,COMPLETE
53,1748.8733473446243,6.817121859254015e-05,True,True,True,True,False,True,True,0.00024040347022905143,none,6.0,idw-c,6.0,COMPLETE
54,1736.0778833844572,3.3752667662734566e-06,True,True,True,True,False,True,True,0.019725411733555912,none,6.0,idw-wc-n,6.0,COMPLETE
55,1736.0778833844572,2.1942353442413867e-05,True,True,True,True,False,True,True,0.00813023371416229,none,6.0,idw-wc-n,6.0,COMPLETE
56,1735.3295912091232,5.078204033936357e-06,True,True,True,True,False,True,True,0.0011930280401980244,none,12.0,idw-wc-c,5.0,COMPLETE
57,3380.0262002082477,5.417442585823736e-06,True,True,False,True,False,True,True,0.0012816975650965597,large,12.0,idw-c,5.0,COMPLETE
58,2011.799932883688,1.1154977851311449e-05,True,False,True,True,False,False,True,0.00018723785079369852,none,12.0,idw-wc-c,,COMPLETE
59,1682.1502048442508,0.00013736003672816638,True,True,True,True,False,True,True,0.03944468493091792,none,12.0,idw-wc-c,3.0,COMPLETE
60,1701.7898245728072,0.00025334504844357357,True,True,True,True,False,True,False,0.033463085177444264,none,12.0,idw-wc-c,3.0,COMPLETE
61,1701.7898245728072,0.0001476359494716322,True,True,True,True,False,True,False,0.2595603964103323,none,12.0,idw-wc-c,3.0,COMPLETE
62,1701.7898245728072,0.0001769344134907479,True,True,True,True,False,True,False,0.20286487115280183,none,12.0,idw-wc-c,3.0,COMPLETE
63,1701.7898245728072,0.00015973870869553992,True,True,True,True,False,True,False,0.3627480930155788,none,12.0,idw-wc-c,3.0,COMPLETE
64,1701.7898245728072,0.0001537734717524355,True,True,True,True,False,True,False,0.3865665681358715,none,12.0,idw-wc-c,3.0,COMPLETE
65,1701.7898245728072,0.00017064012633720118,True,True,True,True,False,True,False,0.36420302877956223,none,12.0,idw-wc-c,3.0,COMPLETE
66,1701.7898245728072,0.0001333372565991367,True,True,True,True,False,True,False,0.375276751397517,none,12.0,idw-wc-c,3.0,COMPLETE
67,1807.4306130055093,0.0002946565850075254,True,True,True,True,False,True,False,0.35278729638812656,large,12.0,idw-wc-c,3.0,COMPLETE
68,3072.6770205282105,0.00016501313636941033,True,True,False,True,False,True,False,0.43588172440080164,none,12.0,idw-wc-c,3.0,COMPLETE
69,1661.4266898797098,9.463715622002344e-05,True,True,True,True,False,True,False,0.19121100036832817,none,12.0,idw-wc-c,2.0,COMPLETE
70,1661.4266898797098,9.065743351670844e-05,True,True,True,True,False,True,False,0.9978964145620453,none,12.0,idw-wc-c,2.0,COMPLETE
71,1661.4266898797098,9.153371296935386e-05,True,True,True,True,False,True,False,0.1724146736731297,none,12.0,idw-wc-c,2.0,COMPLETE
72,1661.4266898797098,9.225059453061389e-05,True,True,True,True,False,True,False,0.19605084652523974,none,12.0,idw-wc-c,2.0,COMPLETE
73,1661.4266898797098,8.397483102336307e-05,True,True,True,True,False,True,False,0.16464749473726137,none,12.0,idw-wc-c,2.0,COMPLETE
74,1661.4266898797098,9.17403358481949e-05,True,True,True,True,False,True,False,0.10821619115980828,none,12.0,idw-wc-c,2.0,COMPLETE
75,1661.4266898797098,9.905955211763219e-05,True,True,True,True,False,True,False,0.1025383905858459,none,12.0,idw-wc-c,2.0,COMPLETE
76,2824.390462812089,9.340804451586087e-05,False,True,True,True,True,True,False,0.11432403394705687,none,12.0,idw-wc-c,2.0,COMPLETE
77,1987.2048712339965,0.0004043207802001445,True,False,True,True,False,False,False,0.9999350544240518,none,12.0,idw-wc-c,,COMPLETE
78,1661.4266898797098,2.8632055532874482e-05,True,True,True,True,False,True,False,0.07110320978694841,none,12.0,idw-wc-c,2.0,COMPLETE
79,1661.4266898797098,2.7205509662614434e-05,True,True,True,True,False,True,False,0.07959625199299937,none,12.0,idw-wc-c,2.0,COMPLETE
80,1661.4266898797098,6.900363804949574e-05,True,True,True,True,False,True,False,0.13397807060641367,none,12.0,idw-wc-c,2.0,COMPLETE
81,1661.4266898797098,3.129731255913159e-05,True,True,True,True,False,True,False,0.06473309132697645,none,12.0,idw-wc-c,2.0,COMPLETE
82,1661.4266898797098,8.403318479785334e-05,True,True,True,True,False,True,False,0.2125365002972705,none,12.0,idw-wc-c,2.0,COMPLETE
83,1661.4266898797098,2.591583616534033e-05,True,True,True,True,False,True,False,0.568041928317964,none,12.0,idw-wc-c,2.0,COMPLETE
84,1661.4266898797098,3.4918529162824256e-05,True,True,True,True,False,True,False,0.09471748627150131,none,12.0,idw-wc-c,2.0,COMPLETE
85,1661.4266898797098,0.00010018557537817463,True,True,True,True,False,True,False,0.06444944335636417,none,12.0,idw-wc-c,2.0,COMPLETE
86,3025.8149442249255,4.654093946165002e-05,True,True,False,True,False,True,False,0.14692624876625868,none,12.0,idw-wc-c,2.0,COMPLETE
87,1835.254362218333,0.0004988240247910147,True,True,True,True,False,True,False,0.2791408869310411,large,12.0,cluster,2.0,COMPLETE
88,2824.390462812089,8.464529849415884e-06,False,True,True,True,True,True,False,0.059672819759041464,none,12.0,idw-wc-c,2.0,COMPLETE
89,1646.423181408634,2.2427787617042635e-05,True,True,True,True,False,True,False,0.15192950339189032,none,1.0,idw-wc-c,2.0,COMPLETE
90,1935.0266251650737,6.665359764117853e-05,True,False,True,True,False,False,False,0.16593249814725786,small,1.0,idw-wc-c,,COMPLETE
91,1646.423181408634,2.8570513519865115e-05,True,True,True,True,False,True,False,0.09223933179428229,none,1.0,idw-wc-c,2.0,COMPLETE
92,1646.423181408634,1.7051749646103903e-05,True,True,True,True,False,True,False,0.10745415469081329,none,1.0,idw-wc-c,2.0,COMPLETE
93,1646.423181408634,0.00010092542997274931,True,True,True,True,False,True,False,0.11068183549247636,none,1.0,idw-wc-c,2.0,COMPLETE
94,1646.423181408634,1.4926085178612238e-05,True,True,True,True,False,True,False,0.26009187589260424,none,1.0,idw-wc-c,2.0,COMPLETE
95,1699.2716897334224,1.7675276275318242e-05,True,True,True,True,False,True,False,0.2526167624405211,none,1.0,mean,2.0,COMPLETE
96,1948.989087191287,1.2651389478056353e-05,True,True,True,True,False,True,False,0.5491978003924751,none,1.0,max,2.0,COMPLETE
97,1646.423181408634,3.903295175665884e-06,True,True,True,True,False,True,False,0.9607974479600283,none,1.0,idw-wc-c,2.0,COMPLETE
98,1646.423181408634,3.031044583225405e-06,True,True,True,True,False,True,False,0.050987786187823785,none,1.0,idw-wc-c,2.0,COMPLETE
99,3136.920488514757,1.3306271811483458e-06,True,True,False,True,False,True,False,0.7523429490454685,none,1.0,idw-wc-c,2.0,COMPLETE
