number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_air_density_moist,params_compute_clear_sky_fraction,params_compute_cloud_cover_fraction,params_compute_diffuse_ratio,params_compute_direct_ratio,params_compute_dni_ratio,params_compute_global_tilted_ratio,params_dew_point_temperature,params_drop_raw_features,params_drop_raw_solar_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_shortwave_lags_option,params_spatial_agg_method,params_subsample,params_use_solar_geometry,params_vapor_pressure,state
11,700.9191812769927,none,0.5595389136137539,False,True,False,True,False,True,True,False,True,False,True,1.0,0.21184811312857846,8,7,508,large,3.487530560742078e-06,2.407439268085249e-08,medium,mean,0.9666754966010184,False,False,COMPLETE
12,713.3516224942119,small,0.5969552562192464,False,False,False,True,False,True,True,True,True,False,False,6.0,0.1291960829217551,7,8,536,large,3.3232144033923787e-06,1.0157412249671072e-06,large,idw,0.9962389027577593,False,False,COMPLETE
13,578.7562773825601,none,0.5007699467447944,True,True,False,True,False,False,True,False,True,False,True,12.0,0.18577289744936845,10,7,740,small,0.9687534404269288,1.5502650237301192e-06,medium,distance_capacity,0.867610725937118,False,False,COMPLETE
14,629.3475928741667,none,0.8565542021865451,True,True,False,True,False,False,True,True,True,False,False,12.0,0.08829400292662017,10,3,565,large,0.8784976707377063,3.4381476701727745e-06,none,mean,0.8493482344923426,True,False,COMPLETE
15,582.9946905994047,none,0.5037151011159355,True,True,False,True,False,False,True,False,True,False,True,12.0,0.16419380711385376,10,7,381,small,0.005567009839827827,2.349359180812138e-05,medium,distance_capacity,0.8461528275723058,False,False,COMPLETE
16,723.3667955573061,none,0.7068268037269315,True,True,False,True,False,False,True,False,True,False,True,12.0,0.2986205370996542,8,7,613,large,0.9741146154619869,3.4706484205058743e-07,none,None,0.9357004188092282,True,False,COMPLETE
17,545.6242959434435,none,0.6257084286523595,True,True,False,True,False,False,True,True,True,False,False,12.0,0.030874340765767807,9,6,729,large,0.003975621581787565,2.1392519431958683e-05,large,n_panels,0.8231487174773111,False,False,COMPLETE
18,555.9578077104669,none,0.6398092472824006,True,True,False,False,True,False,True,True,True,True,False,12.0,0.029411497626569725,8,3,994,large,0.0007032590616824693,2.689283528957346e-05,large,n_panels,0.8106962840344379,True,True,COMPLETE
19,596.9503985297698,small,0.7297687641195082,True,True,False,True,False,False,True,True,True,False,False,6.0,0.014907369435375427,9,6,455,large,0.01134572712610778,1.5477499820998237e-05,large,n_panels,0.9306673256482991,False,False,COMPLETE
20,519.1801019052056,medium,0.595040917793907,True,True,False,True,False,False,True,True,True,False,False,12.0,0.03324104362209202,7,4,692,large,0.1066969089571764,0.0014697605084743224,large,capacity,0.8030957367176347,True,False,COMPLETE
21,526.5213993139092,medium,0.5961343884475342,True,True,False,True,False,False,True,True,True,False,False,12.0,0.03224123633696811,7,3,679,large,0.11652094724477742,0.0004236309583682228,large,capacity,0.8124685999557808,True,False,COMPLETE
22,522.6724741099836,medium,0.6070317169886427,True,True,False,True,False,False,True,True,True,False,False,12.0,0.07118661113779096,7,3,615,large,0.1266873097839046,0.0010157436256479897,large,capacity,0.6964511954355401,True,False,COMPLETE
23,519.5675688827245,medium,0.5862255385210395,True,True,False,True,False,False,True,True,True,False,False,12.0,0.03235315309078128,7,3,689,large,0.06148323383076668,0.0014571918159481593,large,capacity,0.6573252265858446,True,False,COMPLETE
24,528.7033896230897,medium,0.6652679052821636,True,True,False,True,False,False,True,True,True,False,False,12.0,0.019563405304684863,7,1,567,large,0.03523832560405387,0.002820137076811812,large,capacity,0.6186476368428215,True,False,COMPLETE
25,518.4350397771213,medium,0.5869279950417496,True,True,False,True,False,False,True,True,True,False,False,12.0,0.03892083551687816,7,2,819,large,0.0017532325778386072,0.001046641508512704,large,capacity,0.5977301098050548,True,False,COMPLETE
26,534.8849980037572,medium,0.5697586683786369,True,True,True,False,True,False,True,True,True,True,False,12.0,0.04054153219724243,6,2,798,none,0.0006595619496273847,0.18504931195905974,large,capacity,0.560133202200848,True,True,COMPLETE
27,566.9771915640389,medium,0.6656077167074892,True,True,False,True,False,False,True,True,True,False,False,,0.016703574980933486,7,4,888,large,7.240234272768235e-05,0.002693645362843887,large,capacity,0.5838895851632927,True,False,COMPLETE
28,566.7792749666179,medium,0.7671264018186366,True,True,False,True,False,False,True,True,True,False,False,6.0,0.0608243317863973,8,2,937,large,0.0018425976983893584,0.07562318198850101,large,capacity,0.6903913897267833,True,False,COMPLETE
29,618.7764646517348,medium,0.8508189646888412,True,True,False,True,False,False,True,True,True,True,False,,0.0346892538232123,4,4,810,none,0.022089031613154612,0.8116746563241287,large,capacity,0.5337115427921508,True,False,COMPLETE
