target,method,model_label,horizon,mse,rmse,mae,mape,smape,bias,variance,std,r2,prediction_interval_coverage,prediction_interval_width
gas_tenn,trained,MultiTargetLGBM,2025-01-07T00:00:00+00:00,487014.01261274994,697.8638926128432,532.1007628447499,17.99836493000215,36.89358680128492,-87.9452275546716,479279.64956310694,692.3002596873029,0.5034023576065318,0.0,0.0
hard_coal_tenn,trained,MultiTargetLGBM,2025-01-07T00:00:00+00:00,394514.3225988531,628.1037514605792,488.641460112888,65.30232041178408,91.78198160507358,177.78415799175954,362907.1157660142,602.4177253086219,-0.6732566965992504,0.0,0.0
renewables_tenn,trained,MultiTargetLGBM,2025-01-07T00:00:00+00:00,63531.74375319559,252.0550411183946,195.1175790384575,25.35284715060962,42.44770280877122,141.70066831436355,43452.66435245831,208.45302672894513,0.42726649985228204,0.0,0.0
gas_tenn,trained,MultiTargetLGBM,2025-01-14T00:00:00+00:00,686307.288099713,828.436653039756,676.4646906778156,16.404386320210694,37.16802069893451,-614.5622705395765,308620.50372895366,555.5362307977344,-0.3320833152595677,0.0,0.0
hard_coal_tenn,trained,MultiTargetLGBM,2025-01-14T00:00:00+00:00,417562.60653847386,646.1908437439158,530.237436699086,54.85247915509221,73.69064661015629,490.946913896108,176533.73427436137,420.1591773058889,-3.507341310303512,0.0,0.0
renewables_tenn,trained,MultiTargetLGBM,2025-01-14T00:00:00+00:00,63213.69264627931,251.42333353585008,183.01715541374844,16.595974672110078,30.699517243175418,56.727898728311075,59995.6381521498,244.9400705318544,0.6396115098498925,0.0,0.0
gas_tenn,trained,MultiTargetLGBM,2025-01-21T00:00:00+00:00,808395.0238692084,899.107904463757,677.3637622039764,24.71332929071827,53.16095750571088,-458.82816094732397,597871.7425909052,773.221664589725,0.6312576976682801,0.0,0.0
hard_coal_tenn,trained,MultiTargetLGBM,2025-01-21T00:00:00+00:00,199349.73527827585,446.4859855340096,333.2982322531369,41.05035274656097,72.21383528555347,-17.80385335779799,199032.7580838899,446.1308755106397,0.1407372415588768,0.0,0.0
renewables_tenn,trained,MultiTargetLGBM,2025-01-21T00:00:00+00:00,66685.8116958233,258.23596127538724,212.0919218823832,31.22387729859404,51.54716643515543,138.7172244855858,47443.3433268389,217.81492907245567,0.5031643458932609,0.0,0.0
gas_tenn,trained,MultiTargetLGBM,2025-01-28T00:00:00+00:00,369047.0683206064,607.492443015225,465.92390169818293,18.457521485987822,34.467675390163556,10.663352348459165,368933.3612372991,607.3988485643507,0.7143462151365917,0.0,0.0
