number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
10,634.2292473345038,none,0.5100638670461227,False,False,True,False,True,False,True,False,False,True,True,True,False,True,True,False,True,6.0,0.04652971277440955,3,98,0.3452835625224492,918,11,none,0.012932639444459966,0.0004081078682580268,none,distance_energy,0.6102399285956004,none,COMPLETE
11,475.0339902003413,small,0.7764718811956177,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.08519133972083574,8,89,0.009035260466056932,524,92,none,1.1793529175088118e-08,0.002925080468725861,long,distance_population,0.6474719202482546,small,COMPLETE
12,628.6829942289459,none,0.7962172875142639,True,False,False,False,True,True,True,False,True,False,False,False,False,False,True,False,True,6.0,0.08632095881991869,8,100,0.3100938850636335,520,92,none,1.3719957219298697e-08,0.002024324210559773,long,energy,0.6551705491668384,none,COMPLETE
13,532.5247430939168,small,0.8093468644959692,False,True,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.027752748829939188,5,85,0.1370646488205991,309,106,none,6.571216557488805e-08,1.9049334123285883e-05,short,distance_energy,0.5149490737654538,small,COMPLETE
14,775.4219439531358,none,0.9147688813817665,True,True,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,12.0,0.0887962787359182,13,51,0.2839008954818686,702,67,none,2.4250303795681536e-05,0.0062316784965600934,none,distance_population,0.6513759771333524,none,COMPLETE
15,521.2152316976716,small,0.7448467922897042,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,True,6.0,0.03653031971600946,9,85,0.0023177790014443566,457,86,none,1.6356039474611804e-07,1.1523038326295604e-05,long,energy,0.6760149139657696,small,COMPLETE
16,619.0401608849273,small,0.7641446100143898,False,False,True,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.08994318048408943,4,90,0.13892055030180422,703,148,none,0.01071965737796358,1.2085147438333809e-08,short,population,0.6032069621026451,none,COMPLETE
17,649.6450715714324,none,0.8514165028187687,True,True,False,False,True,True,True,False,False,True,False,True,False,False,True,False,True,6.0,0.02979642443372505,7,57,0.4013530281394354,528,102,small,0.0010156302398200115,0.9737237358513978,short,max,0.8521148369869793,small,COMPLETE
18,571.1565766007581,small,0.6318080210143562,False,False,True,False,True,False,True,False,False,True,True,True,False,True,True,False,True,12.0,0.07111045256319794,8,76,0.13102156192214215,361,71,none,0.04813212632799144,3.3681874741377173e-06,long,None,0.5075102030629948,none,COMPLETE
19,497.78264066083574,none,0.5355477357690847,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.11808845932863009,11,39,0.2334888147916862,561,46,none,2.2461343637660605e-05,0.0017453072787093167,none,idw,0.7037419514360824,medium,COMPLETE
20,527.0072275577064,none,0.7141737777259122,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,6.0,0.02307922322430056,16,88,0.03690136230767688,397,109,small,3.286926262171959e-07,8.054566723053738e-05,long,distance_population,0.6006054108711317,small,COMPLETE
21,508.3170557088097,none,0.5540106100581007,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.06700833707361718,11,41,0.25112162032928037,562,49,none,1.6354996219464225e-05,0.0030802075574243447,none,idw,0.7176958632976467,medium,COMPLETE
22,509.3093974227823,none,0.6344659923415255,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.1229942343242155,10,7,0.250080747033455,510,76,none,1.0910665069688231e-08,0.016940204294286026,none,idw,0.6353200145217399,medium,COMPLETE
23,540.4960557234898,none,0.5029514665915229,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.11515267896350265,13,43,0.12360360785526874,675,24,none,0.0017481040249962172,0.0005224995557700898,none,distance_energy,0.6931975525630182,medium,COMPLETE
24,726.1164712479534,none,0.9773576606655238,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.044640983558623434,8,42,0.3523886560149225,596,51,none,0.00022526456445140828,7.98040257839652e-05,none,idw,0.8028457080569263,medium,COMPLETE
25,514.9250495901274,small,0.5559488195588116,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,6.0,0.06834289904278605,12,95,0.20916102192343286,472,79,none,6.910621951671069e-07,0.001005758520874171,none,distance_energy,0.5645316339074584,medium,COMPLETE
26,712.4095126215325,none,0.8079427905128234,True,False,True,False,False,False,True,True,True,True,True,True,False,True,False,True,True,1.0,0.11410060353439873,6,78,0.28660772445208127,752,36,none,8.506131602187914e-06,0.008774679497206476,short,distance_population,0.7398450036364104,none,COMPLETE
27,696.173423029501,none,0.9222723256032951,True,True,False,False,True,True,True,False,True,False,False,False,False,False,True,False,False,12.0,0.20897116768981233,10,59,0.16883208635868505,397,97,none,0.0030293169556542127,8.88341433479833e-07,short,idw,0.6752776771361592,none,COMPLETE
28,583.214615325383,medium,0.7131007468179006,False,False,True,False,True,True,True,False,False,True,False,True,False,False,True,False,True,,0.05565272590360223,12,26,0.0989405539199564,584,113,small,0.05383473203748082,2.0201763853150826e-07,none,None,0.6232568814360212,small,COMPLETE
29,601.6490721223848,small,0.5941833264021069,True,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,1.0,0.10193703013010397,9,92,0.22288602210543834,642,17,none,0.18166708621465155,0.0001320122257468901,long,max,0.8817283112532226,medium,COMPLETE
