number,value,params_colsample_bytree,params_compute_air_density,params_compute_turbulence_intensity,params_compute_wind_power_density,params_compute_wind_ramp,params_compute_wind_shear,params_drop_raw_features,params_encode_wind_direction,params_lags_option,params_lags_target,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_spatial_method,params_subsample,params_turbulence_window,state
64,791.5901592407313,0.6785069851259392,True,True,False,True,True,False,False,none,1.0,0.029019737590329362,7,10,844,3.171422754599914e-06,3.192039807675706e-08,cluster,0.8687425288567044,2.0,COMPLETE
65,846.5588533385338,0.5964432695250259,True,True,False,True,True,False,False,none,6.0,0.01600174260371274,10,10,891,1.7541266978419173e-05,1.3260267858063648e-05,idw-wc-n,0.8483557090584002,2.0,COMPLETE
66,767.5380423328678,0.7415754250951339,True,True,False,True,True,False,False,none,1.0,0.03413405153451169,9,9,810,6.822772948272819e-06,6.584668580902148e-06,idw-wc-n,0.7981279152695506,3.0,COMPLETE
67,871.7914359561336,0.6271444696291418,False,True,False,True,True,False,False,none,12.0,0.023619962255356966,8,9,615,1.1885454932530904e-07,3.692100727205172e-08,idw-wc-n,0.920196095250465,2.0,COMPLETE
68,753.2889048350776,0.6678255019993775,True,False,False,True,True,False,True,none,1.0,0.012190619125509521,8,10,879,1.0061176808286954e-05,2.6966131663502717e-07,idw-wc-c,0.9036769501753171,,COMPLETE
69,730.6769389361269,0.6691217043853513,True,False,False,True,True,False,True,none,1.0,0.01222104581450875,9,10,937,7.5013846241495225e-06,3.2161862404683984e-07,idw-wc-c,0.903272670713511,,COMPLETE
70,838.888828164349,0.6676837025339336,True,False,False,True,True,True,True,none,1.0,0.011155976338629916,9,10,936,8.741614611010872e-06,3.2804533170115562e-06,idw-wc-c,0.9717794968977546,,COMPLETE
71,746.845675448606,0.6474291753573758,True,False,False,True,True,False,True,none,1.0,0.011716949727519905,9,10,879,2.160704246776714e-05,2.5997713435179757e-07,idw-wc-c,0.9003602306513048,,COMPLETE
72,720.1594384805109,0.6486325916600347,True,False,False,True,True,False,True,none,1.0,0.011798178157767469,10,10,882,1.7871323758026152e-06,6.623835901045464e-08,idw-wc-c,0.9049673681884847,,COMPLETE
73,732.9173185562158,0.6465341568346972,True,False,False,True,True,False,True,none,1.0,0.012612358378069458,10,10,876,3.82172498871487e-06,6.640977154346106e-08,idw-wc-c,0.9088461010663735,,COMPLETE
74,742.9572643406767,0.6520487504183244,True,False,False,True,True,False,True,none,1.0,0.012067261028063617,10,10,857,4.238151782733669e-06,6.514036978220409e-08,idw-wc-c,0.931688825422173,,COMPLETE
75,722.567637769068,0.641168769493511,True,False,False,True,True,False,True,none,1.0,0.013099096590421072,10,10,958,1.4173183844637551e-06,1.291718059708008e-08,idw-wc-c,0.929652540299072,,COMPLETE
76,729.488918446859,0.6531784760253574,True,False,False,True,True,False,True,none,1.0,0.012593451237967637,10,10,954,1.3922061880617978e-06,2.153129497761524e-08,idw-wc-c,0.9365320967262013,,COMPLETE
77,888.2839772539273,0.691239587303196,True,False,False,True,False,False,True,none,6.0,0.013397696765307844,10,10,962,4.332014421151608e-07,1.4690507974492141e-08,idw-wc-c,0.9193428667936143,,COMPLETE
78,741.2405140826564,0.6367488703849749,True,False,False,True,True,False,True,none,1.0,0.010471092900517134,10,10,986,1.766482555458169e-06,1.0535185716869364e-08,idw-wc-c,0.9406618665132257,,COMPLETE
79,765.1691787096885,0.6789640698590393,False,False,False,True,True,False,True,none,1.0,0.015924049626393086,10,10,924,1.76657790686278e-07,2.3803303308126438e-08,idw-wc-c,0.9661673080498855,,COMPLETE
80,735.8287822033316,0.6109262715575867,True,False,False,True,True,False,True,none,1.0,0.013385095528632476,10,10,952,1.0052170109847626e-06,1.5897034213953668e-07,idw-wc-c,0.7186651287975367,,COMPLETE
81,729.8695036175691,0.6092411385353809,True,False,False,True,True,False,True,none,1.0,0.013567967855764716,10,10,954,8.200877808939126e-07,1.2174705150166094e-07,idw-wc-c,0.7377421680676625,,COMPLETE
82,725.7033953649167,0.6045954638135025,True,False,False,True,True,False,True,none,1.0,0.013475475097649561,10,10,950,5.969988898959605e-07,1.2671847523130428e-07,idw-wc-c,0.7364878358617766,,COMPLETE
83,728.6134910083525,0.6059169270957739,True,False,False,True,True,False,True,none,1.0,0.01379716538291545,10,10,963,7.126760859391224e-07,1.2497704609412903e-07,idw-wc-c,0.733500451098882,,COMPLETE
84,742.3991892935968,0.5816079413875912,True,False,False,True,True,False,True,none,1.0,0.018158587763966148,10,10,996,5.827952078189338e-08,4.8953143790150983e-08,idw-wc-c,0.7373502558989817,,COMPLETE
85,725.1754504241594,0.5479113315881782,True,False,False,True,True,False,True,none,1.0,0.013720567970350879,10,10,975,3.9225610721812714e-07,2.346997440880546e-08,idw-wc-c,0.7008589958069978,,COMPLETE
86,760.2536658532782,0.5447682441721418,True,False,False,True,True,False,True,none,1.0,0.014246750914804101,10,2,960,5.535373967234654e-07,2.2637428507849566e-08,idw-wc-c,0.685956750291122,,COMPLETE
87,905.2306833157963,0.5195676074152961,True,False,False,True,True,True,True,none,12.0,0.010183069786736911,10,10,978,2.5206809946399104e-07,1.0538887358343302e-08,idw-wc-c,0.7482277189761481,,COMPLETE
88,738.5752147995277,0.5612799387232196,True,False,False,True,True,False,True,none,1.0,0.0207539376328759,10,10,912,1.911526036096904e-06,1.1276988683215964e-07,idw-wc-c,0.7687471051138655,,COMPLETE
89,741.9943846321377,0.5937552660767045,True,False,False,True,False,False,True,none,1.0,0.016293976575229095,10,9,998,8.865844590901265e-08,2.8427754936457825e-08,idw-wc-c,0.7148338493227117,,COMPLETE
90,722.3834129117827,0.6049107423796303,True,False,False,True,True,False,True,none,1.0,0.01442485672599878,10,10,942,3.1960683082125014e-07,1.799971582792796e-08,idw-wc-c,0.7148707760989002,,COMPLETE
91,721.3599533835483,0.6371270299349078,True,False,False,True,True,False,True,none,1.0,0.014278575127523957,10,10,947,3.014533823777015e-07,1.8056782144548483e-08,idw-wc-c,0.6564570723392554,,COMPLETE
92,739.4447917325673,0.609196832118205,True,False,False,True,True,False,True,none,1.0,0.014726394117617156,10,10,960,2.3708369687021933e-08,1.5592760161899187e-08,idw-wc-c,0.6235004699062185,,COMPLETE
93,733.652730536351,0.6354417803227885,True,False,False,True,True,False,True,none,1.0,0.017052141175873243,10,10,981,2.9612711005345015e-07,4.861331168408715e-08,idw-wc-c,0.6775802663513796,,COMPLETE
94,702.6289315613068,0.5738974341198816,True,False,False,True,True,False,True,none,1.0,0.013431382709937423,10,9,917,7.326241581294883e-07,1.825504732813397e-08,idw-wc-c,0.6562179035039293,,COMPLETE
95,721.9325855742227,0.56913177155437,True,False,False,True,True,False,True,none,1.0,0.01101767017126623,10,9,919,5.8281027134983e-07,1.8921083415559864e-08,idw-wc-c,0.6652277909484882,,COMPLETE
96,730.3736706202423,0.5565684674410039,True,False,False,True,True,False,True,none,1.0,0.010904034355151323,10,9,917,5.285325146494348e-07,1.0204686557157367e-08,idw-wc-c,0.6533545164488568,,COMPLETE
97,743.5298848015813,0.5669129452094878,True,False,False,True,True,False,True,none,1.0,0.019391290440795152,10,9,931,1.773625018788209e-07,1.6158766918725287e-08,idw-wc-c,0.6241867041097451,,COMPLETE
98,778.978553471267,0.5467197706231447,False,False,False,True,True,False,True,none,6.0,0.014766520046815515,10,9,907,3.118976762640442e-07,3.897606762964609e-08,idw-wc-c,0.6708007836865238,,COMPLETE
99,732.1766656899559,0.533667309180839,True,False,False,True,True,False,True,none,1.0,0.011239853036807995,10,9,940,9.606970740028667e-08,7.791245365754197e-08,idw-wc-c,0.7045054667829962,,COMPLETE
