number,value,params_cloud_lags_option,params_colsample_bytree,params_compute_air_density,params_compute_cloud_cover_fraction,params_compute_cooling_degree_hours,params_compute_dew_point_spread,params_compute_effective_solar,params_compute_heating_degree_hours,params_compute_humidex,params_compute_pressure_trend,params_compute_rain_indicator,params_compute_temp_gradient,params_compute_wind_chill,params_compute_wind_components,params_compute_wind_power_density,params_compute_wind_speed_gradient,params_drop_basic_meteo_features,params_drop_rad_meteo_features,params_drop_wind_meteo_features,params_lags_target,params_learning_rate,params_max_depth,params_min_child_samples,params_min_split_gain,params_n_estimators,params_num_leaves,params_precip_lags_option,params_reg_alpha,params_reg_lambda,params_rolling_temp_option,params_spatial_agg_method,params_subsample,params_temp_lags_option,state
12,615.5110915536648,none,0.7368835907874819,True,False,False,True,False,True,True,True,False,False,False,True,False,True,False,False,False,,0.03033237330050416,12,44,0.1693896553337735,822,37,small,0.015678074029825437,0.11185597345528801,none,distance_energy,0.9119769900404312,small,COMPLETE
13,590.4724406994569,none,0.7176924207079378,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,,0.03637645649561279,11,44,0.17393752863073633,719,57,small,0.008138133214394806,0.3860236736966444,none,distance_energy,0.8976977564708968,small,COMPLETE
14,548.0023582906462,none,0.718215094392603,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.0363260749234777,11,46,0.17134074377893554,697,58,small,0.00010027942091321323,0.6277119072801645,none,distance_energy,0.720675895098827,small,COMPLETE
15,559.6330962139949,none,0.7088791899569096,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.042779332463356606,11,8,0.16741315578172689,675,63,small,5.2595733971768746e-05,0.7860626148431039,none,distance_energy,0.6991372017246884,small,COMPLETE
16,568.0460976741151,small,0.666760566843116,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.04544453270711582,16,12,0.11430551464257846,419,70,small,5.618228686763257e-05,0.05959916764455968,short,distance_energy,0.6874416066582371,small,COMPLETE
17,585.1902010547632,none,0.5233752044972595,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.0791771699257526,11,8,0.2180313054414414,653,60,small,6.735100045420364e-06,0.055557604726718286,none,distance_energy,0.6868012217444014,small,COMPLETE
18,601.0993339190815,none,0.7827483846212112,False,False,False,True,False,False,True,True,False,False,False,False,True,True,False,False,True,1.0,0.10549868053916513,7,26,0.2202760665610168,657,112,small,0.0006503702179280012,2.18531936068542e-08,none,distance_energy,0.6179287598788088,medium,COMPLETE
19,539.3002001015319,small,0.6889837496483986,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.019189508086525676,10,21,0.12309058633091818,477,84,small,1.0348710478476426e-08,0.9478042934515182,short,mean,0.7497912920439606,small,COMPLETE
20,527.8776696318508,small,0.5833071529077827,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.01775053852702071,15,23,0.1041610473959532,401,85,small,7.810938175950554e-07,0.00036245015340130815,short,mean,0.7591060639461142,small,COMPLETE
21,524.0940419826702,small,0.5912205178807756,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.018863963671080935,15,23,0.0010788884088880485,423,86,small,1.1248388491210403e-08,1.7405996780130476e-07,short,mean,0.7609384112097304,small,COMPLETE
22,523.8516347812003,small,0.5796952145364117,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.018194866246925668,15,24,0.0082311026437441,412,82,small,1.0296614421621946e-08,3.0829044621651734e-07,short,mean,0.75831898142585,small,COMPLETE
23,527.8260202401912,small,0.5833097760720115,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.0178149802404818,15,30,0.01341936687498428,304,114,small,1.7142838529742453e-08,2.0796565420215263e-07,short,mean,0.8110251596304812,small,COMPLETE
24,642.0955688812297,small,0.5014009553292593,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.010284200033711716,15,31,0.0006313079310584278,307,123,small,1.140499529577492e-08,1.4386350121713786e-07,short,mean,0.849326986072786,small,COMPLETE
25,558.7758901769568,small,0.5884162692856503,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.014272937381464039,15,16,0.00047283522318658316,362,149,small,6.175324746248456e-08,3.638242848038936e-07,short,mean,0.8090359971898373,medium,COMPLETE
26,546.6580913560326,small,0.5416828754208229,False,False,False,True,False,False,True,True,False,True,False,False,True,True,False,False,True,1.0,0.023937928439401412,14,35,0.06514069348988942,444,106,small,2.6483840047404774e-08,4.745439955437641e-06,short,mean,0.6305287453974006,small,COMPLETE
27,517.919747825449,small,0.6171042427342903,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.014613015380670185,14,53,0.030564356182123734,378,121,small,1.9640252657619863e-07,4.614719010194431e-08,short,mean,0.7899625073220702,small,COMPLETE
28,527.5895346382146,small,0.6319140643973745,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.014313879451222155,14,50,0.078038294660808,480,132,medium,3.5822883365816366e-07,4.68827661440092e-08,short,energy,0.7618346963960613,small,COMPLETE
29,527.3911065105282,small,0.6615158850166031,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,1.0,0.021840118922259583,14,60,0.04129404162120151,373,96,small,2.224051963986854e-06,8.334757049718962e-07,short,population,0.6486802169469786,medium,COMPLETE
